strain_original,accession,authors,institution,date
LIM-INS-021,OP320555,"Padilla,C., Silva,I., Hurtado,V., Jimenez,V., Barcena,L., Lope,P., Arotinco,G.","Instituto Nacional de Salud Peru, Laboratorio de Biotecnologia y Biologia Molecular",2022-07-09
MPXV/Germany/2022/ON/RKI606,OP863256,"Brinkmann,A., Kohl,C., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A.","Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses",2022-09-XX
MPXV/Germany/2022/RKI387,OP523989,"Brinkmann,A., Kohl,C., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A.","Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses",2022-09-XX
MPXV/Germany/2022/RKI426,OP594190,"Brinkmann,A., Kohl,C., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A.","Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses",2022-09-XX
MPXV/Germany/2022/ON/RKI449,OP615325,"Brinkmann,A., Kohl,C., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A.","Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses",2022-09-XX
MPXV/Germany/2022/RKI343,OP484665,"Brinkmann,A., Kohl,C., Pape,K., Uddin,S., Schrick,L., Michel,J., Schaade,L., Nitsche,A.","Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses",2022-09-XX
MPXV/Germany/2022/RKI359,OP484680,"Brinkmann,A., Kohl,C., Pape,K., Uddin,S., Schrick,L., Michel,J., Schaade,L., Nitsche,A.","Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses",2022-09-XX
MPXV/Germany/2022/RKI378,OP523980,"Brinkmann,A., Kohl,C., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A.","Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses",2022-09-XX
MPXV/Germany/2022/RKI390,OP523992,"Brinkmann,A., Kohl,C., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A.","Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses",2022-09-XX
MPXV/Germany/2022/RKI499,OP626138,"Brinkmann,A., Kohl,C., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A.","Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses",2022-09-XX
MPXV/Germany/2022/RKI339,OP696842,"Brinkmann,A., Kohl,C., Pape,K., Bourquain,D., Thurmer,A., Michel,J., Schaade,L., Nitsche,A.","Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses",2022-09-XX
MPXV/Germany/2022/RKI342,OP484695,"Brinkmann,A., Kohl,C., Pape,K., Uddin,S., Schrick,L., Michel,J., Schaade,L., Nitsche,A.","Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses",2022-09-XX
MPXV/Germany/2022/RKI424,OP594188,"Brinkmann,A., Kohl,C., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A.","Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses",2022-09-XX
MPXV/Germany/2022/RKI437,OP594201,"Brinkmann,A., Kohl,C., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A.","Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses",2022-09-XX
MPXV/Germany/2022/RKI396,OP523999,"Brinkmann,A., Kohl,C., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A.","Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses",2022-09-XX
MPXV/Germany/2022/RKI399,OP524001,"Brinkmann,A., Kohl,C., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A.","Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses",2022-09-XX
ANT-LDSP-ANT-MPX-22702-C,OP431398,"Betancur,I.I.B., Velarde-Hoyos,C.-A.C.V., Gomez,R.R.G., Mercado-Reyes,M.M.R.","Laboratorio Departamental de Salud Publica de Antioquia, Antioquia",2022-08-17
MAG-UNIMOL-MPX-292982-L,OP390178,"Loyola,S., Fernandez-Ruiz,M., Torres-Pacheco,J., Franco-Munoz,C., Laiton-Donato,K., Ruiz-Moreno,H., Mercado-Reyes,M., Gomez-Camargo,D.","Universidad de Cartagena, Laboratorio de Investigacion Molecular (UNIMOL)",2022-08-20
ANT-LDSP-ANT-MPX-22752-O,OP431402,"Betancur,I.I.B., Velarde-Hoyos,C.-A.C.V., Gomez,R.R.G., Mercado-Reyes,M.M.R.","Laboratorio Departamental de Salud Publica de Antioquia, Antioquia",2022-08-18
ANT-LDSP-ANT-MPX-23651-L,OP459216,"Betancur,I.I.B., Velarde-Hoyos,C.-A.C.V., Gomez,R.R.G., Mercado-Reyes,M.M.R.",Laboratorio Departamental de Salud Publica de Antioquia,2022-08-30
ANT-LDSP-ANT-MPX-22816-L,OP477445,"Betancur,I.I.B., Velarde-Hoyos,C.-A.C.V., Gomez,R.R.G., Mercado-Reyes,M.M.R.","Laboratorio Departamental de Salud Publica de Antioquia, Antioquia",2022-08-18
ANT-LDSP-ANT-MPX-23697-L,OP459220,"Betancur,I.I.B., Velarde-Hoyos,C.-A.C.V., Gomez,R.R.G., Mercado-Reyes,M.M.R.",Laboratorio Departamental de Salud Publica de Antioquia,2022-08-30
ANT-LDSP-ANT-MPX-23266,OP477457,"Betancur,I.I.B., Velarde-Hoyos,C.-A.C.V., Gomez,R.R.G., Mercado-Reyes,M.M.R.","Laboratorio Departamental de Salud Publica de Antioquia, Antioquia",2022-08-23
ANT-LDSP-ANT-MPX-23683-L,OP459219,"Betancur,I.I.B., Velarde-Hoyos,C.-A.C.V., Gomez,R.R.G., Mercado-Reyes,M.M.R.",Laboratorio Departamental de Salud Publica de Antioquia,2022-08-30
CUN_INS_MPX_0649_C,OP693651,"Laiton-Donato,K., Alvarez-Diaz,D.A., Franco-Munoz,C., Ruiz-Moreno,H.A., Rojas-Estevez,P., Rosales,A., Martinez,D., Flores,A., Prieto,F., Walteros,D., Gomez,S., Mercado-Reyes,M.","Instituto Nacional de Salud, Direccion de Investigacion en Salud Publica",2022-08-23
BOL-UNIMOL-MPX-293165-L,OP623592,"Loyola,S., Fernandez-Ruiz,M., Torres-Pacheco,J., Franco-Munoz,C., Laiton-Donato,K., Ruiz-Moreno,H., Mercado-Reyes,M., Gomez-Camargo,D.","Universidad de Cartagena, Laboratorio de Investigacion Molecular (UNIMOL)",2022-08-09
ANT-LDSP-ANT-MPX-22748-C,OP431399,"Betancur,I.I.B., Velarde-Hoyos,C.-A.C.V., Gomez,R.R.G., Mercado-Reyes,M.M.R.","Laboratorio Departamental de Salud Publica de Antioquia, Antioquia",2022-08-17
ANT-LDSP-ANT-MPX-22980,OP477446,"Betancur,I.I.B., Velarde-Hoyos,C.-A.C.V., Gomez,R.R.G., Mercado-Reyes,M.M.R.","Laboratorio Departamental de Salud Publica de Antioquia, Antioquia",2022-08-19
ANT-LDSP-ANT-MPX-23631-L,OP459214,"Betancur,I.I.B., Velarde-Hoyos,C.-A.C.V., Gomez,R.R.G., Mercado-Reyes,M.M.R.",Laboratorio Departamental de Salud Publica de Antioquia,2022-08-30
ANT-LDSP-ANT-MPX-23596-O,OP459211,"Betancur,I.I.B., Velarde-Hoyos,C.-A.C.V., Gomez,R.R.G., Mercado-Reyes,M.M.R.",Laboratorio Departamental de Salud Publica de Antioquia,2022-08-29
9000289,OP413714,"Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.","UKHSA, Research and Evaluation",2022-08-XX
9000437,OP536806,"Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.","UKHSA, Research and Evaluation",2022-08-XX
9000382,OP536761,"Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.","UKHSA, Research and Evaluation",2022-08-XX
9000426,OP536800,"Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.","UKHSA, Research and Evaluation",2022-08-XX
9000393,OP536771,"Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.","UKHSA, Research and Evaluation",2022-08-XX
MPX_AooXJI_9000248,OP415219,"Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.","UKHSA, Research and Evaluation",2022-08-XX
9000387,OP536765,"Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.","UKHSA, Research and Evaluation",2022-08-XX
9000420,OP536794,"Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.","UKHSA, Research and Evaluation",2022-08-XX
9000369,OP536750,"Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.","UKHSA, Research and Evaluation",2022-08-XX
MPX_Qjmiyl_9000330,OP415268,"Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.","UKHSA, Research and Evaluation",2022-08-XX
MPX_qQzToC_9000264,OP415233,"Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.","UKHSA, Research and Evaluation",2022-08-XX
MPX_bSkpM3_9000334,OP415272,"Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.","UKHSA, Research and Evaluation",2022-08-XX
MPX_0MZd8B_9000260,OP415229,"Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.","UKHSA, Research and Evaluation",2022-08-XX
MPX_ElGfGw_9000328,OP415266,"Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.","UKHSA, Research and Evaluation",2022-08-XX
MPX_L6rBi6_9000265,OP415234,"Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.","UKHSA, Research and Evaluation",2022-08-XX
hMPXV/Austria/MUW1540386/2022,OP422343,"Camp,J.V., Redlberger-Fritz,M., Aberle,S.W.","Medical University of Vienna, Center for Virology",2022-08-08
hMPXV/Austria/MUW1538395/2022,OP422341,"Camp,J.V., Redlberger-Fritz,M., Aberle,S.W.","Medical University of Vienna, Center for Virology",2022-08-01
hMPXV/Austria/MUW1539124/2022,OP422342,"Camp,J.V., Redlberger-Fritz,M., Aberle,S.W.","Medical University of Vienna, Center for Virology",2022-08-02
B1118431,OP935994,"Bajwa,M.I., Miller,H.","Delaware Public Health Lab, Sequencing/Bioinformatics",2022-09-27
9000452,OP536814,"Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.","UKHSA, Research and Evaluation",2022-09-XX
9000448,OP536811,"Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.","UKHSA, Research and Evaluation",2022-09-XX
9000405,OP536781,"Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.","UKHSA, Research and Evaluation",2022-09-XX
9000406,OP536782,"Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.","UKHSA, Research and Evaluation",2022-09-XX
9000451,OP536813,"Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.","UKHSA, Research and Evaluation",2022-09-XX
9000429,OP536801,"Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.","UKHSA, Research and Evaluation",2022-09-XX
9000438,OP536807,"Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.","UKHSA, Research and Evaluation",2022-09-XX
9000385,OP536764,"Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.","UKHSA, Research and Evaluation",2022-09-XX
9000407,OP536783,"Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.","UKHSA, Research and Evaluation",2022-09-XX
9000400,OP536778,"Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.","UKHSA, Research and Evaluation",2022-09-XX
9000409,OP536785,"Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.","UKHSA, Research and Evaluation",2022-09-XX
9000396,OP536774,"Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.","UKHSA, Research and Evaluation",2022-09-XX
9000430,OP536802,"Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.","UKHSA, Research and Evaluation",2022-09-XX
9000432,OP536804,"Groves,N., Osman,K.L., Lewandowski,K.S., Carter,D.P., Pullan,S.T., Myers,R., Vipond,R., Chand,M.","UKHSA, Research and Evaluation",2022-09-XX
Monkeypox/PT0564/2022,OP555635,"Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P.","National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases",2022-09-05
Monkeypox/PT0574/2022,OP555645,"Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P.","National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases",2022-09-06
Monkeypox/PT0563/2022,OP555634,"Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P.","National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases",2022-09-05
Monkeypox/PT0591/2022,OP555658,"Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P.","National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases",2022-09-13
Monkeypox/PT0595/2022,OP555662,"Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P.","National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases",2022-09-16
Monkeypox/PT0592/2022,OP555659,"Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P.","National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases",2022-09-14
Monkeypox/PT0578/2022,OP555649,"Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P.","National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases",2022-09-12
Monkeypox/PT0571/2022,OP555642,"Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P.","National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases",2022-09-05
Monkeypox/PT0562/2022,OP555633,"Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P.","National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases",2022-09-01
Monkeypox/PT0565/2022,OP555636,"Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P.","National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases",2022-09-05
Monkeypox/PT0580/2022,OP555651,"Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P.","National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases",2022-09-09
Monkeypox/PT0568/2022,OP555639,"Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P.","National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases",2022-09-02
Monkeypox/PT0575/2022,OP555646,"Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P.","National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases",2022-09-06
Monkeypox/PT0577/2022,OP555648,"Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P.","National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases",2022-09-09
Monkeypox/PT0570/2022,OP555641,"Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P.","National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases",2022-09-02
Slovenia-MPXV-10-2022,OP605553,"Zakotnik,S., Vlaj,D., Suljic,A., Zorec,T.M., Korva,M., Poljak,M., Avsic Zupanc,T.","Institute of Microbiology and Immunology, Faculty of Medicine, University of Ljubljana, Laboratory for Diagnostics of Zoonoses and WHO Centre",2022-07-XX
Slovenia-MPXV-24-2022,OP605566,"Zakotnik,S., Vlaj,D., Suljic,A., Zorec,T.M., Korva,M., Poljak,M., Avsic Zupanc,T.","Institute of Microbiology and Immunology, Faculty of Medicine, University of Ljubljana, Laboratory for Diagnostics of Zoonoses and WHO Centre",2022-07-XX
Slovenia-MPXV-31-2022,OP605573,"Zakotnik,S., Vlaj,D., Suljic,A., Zorec,T.M., Korva,M., Poljak,M., Avsic Zupanc,T.","Institute of Microbiology and Immunology, Faculty of Medicine, University of Ljubljana, Laboratory for Diagnostics of Zoonoses and WHO Centre",2022-07-XX
Slovenia-MPXV-21-2022,OP605563,"Zakotnik,S., Vlaj,D., Suljic,A., Zorec,T.M., Korva,M., Poljak,M., Avsic Zupanc,T.","Institute of Microbiology and Immunology, Faculty of Medicine, University of Ljubljana, Laboratory for Diagnostics of Zoonoses and WHO Centre",2022-07-XX
Slovenia-MPXV-33-2022,OP605575,"Zakotnik,S., Vlaj,D., Suljic,A., Zorec,T.M., Korva,M., Poljak,M., Avsic Zupanc,T.","Institute of Microbiology and Immunology, Faculty of Medicine, University of Ljubljana, Laboratory for Diagnostics of Zoonoses and WHO Centre",2022-07-XX
Slovenia-MPXV-36-2022,OP605578,"Zakotnik,S., Vlaj,D., Suljic,A., Zorec,T.M., Korva,M., Poljak,M., Avsic Zupanc,T.","Institute of Microbiology and Immunology, Faculty of Medicine, University of Ljubljana, Laboratory for Diagnostics of Zoonoses and WHO Centre",2022-07-XX
Slovenia-MPXV-28-2022,OP605570,"Zakotnik,S., Vlaj,D., Suljic,A., Zorec,T.M., Korva,M., Poljak,M., Avsic Zupanc,T.","Institute of Microbiology and Immunology, Faculty of Medicine, University of Ljubljana, Laboratory for Diagnostics of Zoonoses and WHO Centre",2022-07-XX
Slovenia-MPXV-17-2022,OP605559,"Zakotnik,S., Vlaj,D., Suljic,A., Zorec,T.M., Korva,M., Poljak,M., Avsic Zupanc,T.","Institute of Microbiology and Immunology, Faculty of Medicine, University of Ljubljana, Laboratory for Diagnostics of Zoonoses and WHO Centre",2022-07-XX
Slovenia-MPXV-18-2022,OP605560,"Zakotnik,S., Vlaj,D., Suljic,A., Zorec,T.M., Korva,M., Poljak,M., Avsic Zupanc,T.","Institute of Microbiology and Immunology, Faculty of Medicine, University of Ljubljana, Laboratory for Diagnostics of Zoonoses and WHO Centre",2022-07-XX
Slovenia-MPXV-23-2022,OP605565,"Zakotnik,S., Vlaj,D., Suljic,A., Zorec,T.M., Korva,M., Poljak,M., Avsic Zupanc,T.","Institute of Microbiology and Immunology, Faculty of Medicine, University of Ljubljana, Laboratory for Diagnostics of Zoonoses and WHO Centre",2022-07-XX
Slovenia-MPXV-11-2022,OP605554,"Zakotnik,S., Vlaj,D., Suljic,A., Zorec,T.M., Korva,M., Poljak,M., Avsic Zupanc,T.","Institute of Microbiology and Immunology, Faculty of Medicine, University of Ljubljana, Laboratory for Diagnostics of Zoonoses and WHO Centre",2022-07-XX
Slovenia-MPXV-29-2022,OP605571,"Zakotnik,S., Vlaj,D., Suljic,A., Zorec,T.M., Korva,M., Poljak,M., Avsic Zupanc,T.","Institute of Microbiology and Immunology, Faculty of Medicine, University of Ljubljana, Laboratory for Diagnostics of Zoonoses and WHO Centre",2022-07-XX
Slovenia-MPXV-26-2022,OP605568,"Zakotnik,S., Vlaj,D., Suljic,A., Zorec,T.M., Korva,M., Poljak,M., Avsic Zupanc,T.","Institute of Microbiology and Immunology, Faculty of Medicine, University of Ljubljana, Laboratory for Diagnostics of Zoonoses and WHO Centre",2022-07-XX
Slovenia-MPXV-27-2022,OP605569,"Zakotnik,S., Vlaj,D., Suljic,A., Zorec,T.M., Korva,M., Poljak,M., Avsic Zupanc,T.","Institute of Microbiology and Immunology, Faculty of Medicine, University of Ljubljana, Laboratory for Diagnostics of Zoonoses and WHO Centre",2022-07-XX
Slovenia-MPXV-20-2022,OP605562,"Zakotnik,S., Vlaj,D., Suljic,A., Zorec,T.M., Korva,M., Poljak,M., Avsic Zupanc,T.","Institute of Microbiology and Immunology, Faculty of Medicine, University of Ljubljana, Laboratory for Diagnostics of Zoonoses and WHO Centre",2022-07-XX
Slovenia-MPXV-44-2022,OP605585,"Zakotnik,S., Vlaj,D., Suljic,A., Zorec,T.M., Korva,M., Poljak,M., Avsic Zupanc,T.","Institute of Microbiology and Immunology, Faculty of Medicine, University of Ljubljana, Laboratory for Diagnostics of Zoonoses and WHO Centre",2022-08-XX
